C:\Self Drvivng Car\IMG\center_2020_06_01_16_13_29_266.jpg, C:\Self Drvivng Car\IMG\left_2020_06_01_16_13_29_266.jpg, C:\Self Drvivng Car\IMG\right_2020_06_01_16_13_29_266.jpg, 0, 0, 0, 8.617272E-05
C:\Self Drvivng Car\IMG\center_2020_06_01_16_13_29_524.jpg, C:\Self Drvivng Car\IMG\left_2020_06_01_16_13_29_524.jpg, C:\Self Drvivng Car\IMG\right_2020_06_01_16_13_29_524.jpg, 0, 0, 0, 7.780574E-05
C:\Self Drvivng Car\IMG\center_2020_06_01_16_13_29_687.jpg, C:\Self Drvivng Car\IMG\left_2020_06_01_16_13_29_687.jpg, C:\Self Drvivng Car\IMG\right_2020_06_01_16_13_29_687.jpg, 0, 0, 0, 8.027755E-05
C:\Self Drvivng Car\IMG\center_2020_06_01_16_13_29_833.jpg, C:\Self Drvivng Car\IMG\left_2020_06_01_16_13_29_833.jpg, C:\Self Drvivng Car\IMG\right_2020_06_01_16_13_29_833.jpg, 0, 0, 0, 8.185329E-05
C:\Self Drvivng Car\IMG\center_2020_06_01_16_13_29_966.jpg, C:\Self Drvivng Car\IMG\left_2020_06_01_16_13_29_966.jpg, C:\Self Drvivng Car\IMG\right_2020_06_01_16_13_29_966.jpg, 0, 0, 0, 7.88629E-05
C:\Self Drvivng Car\IMG\center_2020_06_01_16_13_30_104.jpg, C:\Self Drvivng Car\IMG\left_2020_06_01_16_13_30_104.jpg, C:\Self Drvivng Car\IMG\right_2020_06_01_16_13_30_104.jpg, 0, 0, 0, 7.855596E-05
C:\Self Drvivng Car\IMG\center_2020_06_01_16_13_30_256.jpg, C:\Self Drvivng Car\IMG\left_2020_06_01_16_13_30_256.jpg, C:\Self Drvivng Car\IMG\right_2020_06_01_16_13_30_256.jpg, 0, 0, 0, 7.84916E-05
C:\Self Drvivng Car\IMG\center_2020_06_01_16_13_30_407.jpg, C:\Self Drvivng Car\IMG\left_2020_06_01_16_13_30_407.jpg, C:\Self Drvivng Car\IMG\right_2020_06_01_16_13_30_407.jpg, 0, 0, 0, 7.752536E-05
C:\Self Drvivng Car\IMG\center_2020_06_01_16_13_30_543.jpg, C:\Self Drvivng Car\IMG\left_2020_06_01_16_13_30_543.jpg, C:\Self Drvivng Car\IMG\right_2020_06_01_16_13_30_543.jpg, 0, 0, 0, 7.92093E-05
C:\Self Drvivng Car\IMG\center_2020_06_01_16_13_30_680.jpg, C:\Self Drvivng Car\IMG\left_2020_06_01_16_13_30_680.jpg, C:\Self Drvivng Car\IMG\right_2020_06_01_16_13_30_680.jpg, 0, 0, 0, 7.785131E-05
C:\Self Drvivng Car\IMG\center_2020_06_01_16_13_30_820.jpg, C:\Self Drvivng Car\IMG\left_2020_06_01_16_13_30_820.jpg, C:\Self Drvivng Car\IMG\right_2020_06_01_16_13_30_820.jpg, 0, 0, 0, 7.802392E-05
C:\Self Drvivng Car\IMG\center_2020_06_01_16_13_30_960.jpg, C:\Self Drvivng Car\IMG\left_2020_06_01_16_13_30_960.jpg, C:\Self Drvivng Car\IMG\right_2020_06_01_16_13_30_960.jpg, 0, 0, 0, 8.17383E-05
C:\Self Drvivng Car\IMG\center_2020_06_01_16_13_31_098.jpg, C:\Self Drvivng Car\IMG\left_2020_06_01_16_13_31_098.jpg, C:\Self Drvivng Car\IMG\right_2020_06_01_16_13_31_098.jpg, 0, 0, 0, 8.008054E-05
C:\Self Drvivng Car\IMG\center_2020_06_01_16_13_31_235.jpg, C:\Self Drvivng Car\IMG\left_2020_06_01_16_13_31_235.jpg, C:\Self Drvivng Car\IMG\right_2020_06_01_16_13_31_235.jpg, 0, 0, 0, 7.786812E-05
C:\Self Drvivng Car\IMG\center_2020_06_01_16_13_31_366.jpg, C:\Self Drvivng Car\IMG\left_2020_06_01_16_13_31_366.jpg, C:\Self Drvivng Car\IMG\right_2020_06_01_16_13_31_366.jpg, 0, 0, 0, 7.938273E-05
C:\Self Drvivng Car\IMG\center_2020_06_01_16_13_31_508.jpg, C:\Self Drvivng Car\IMG\left_2020_06_01_16_13_31_508.jpg, C:\Self Drvivng Car\IMG\right_2020_06_01_16_13_31_508.jpg, 0, 0, 0, 8.00112E-05
C:\Self Drvivng Car\IMG\center_2020_06_01_16_13_31_653.jpg, C:\Self Drvivng Car\IMG\left_2020_06_01_16_13_31_653.jpg, C:\Self Drvivng Car\IMG\right_2020_06_01_16_13_31_653.jpg, 0, 0, 0, 7.833367E-05
